sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,BANYUASIN,-,2014,GAMBUT,SMALLHOLDER,7,2,10337,input,pupuk,Formic acid,Rp/botol,7000,7000,botol,,,,,,,,,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
,,,,,,,,,,input,bahan tanam/bibit,Karet ,Rp/btng,3000,3000,batang,550,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,peralatan,Pisau sadap,Rp/unit,20000,20000,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,peralatan,Mangkok penampung (latex cup),Rp/unit,600,600,unit,0,0,0,0,0,200,350,427.5,427.5,427.5,446.5,437,427.5,418,408.5,399,389.5,380,370.5,361,351.5,342,332.5,323,304,285,266,247,228,209
,,,,,,,,,,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,100000,100000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,input,peralatan,Parang,Rp/unit,75000,75000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Bak penampung,Rp/unit,95000,95000,unit,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,tenaga kerja,Tebas,Rp/HOK,60000,60000,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Tumbang,Rp/HOK,60000,60000,hok,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Bakar,Rp/HOK,60000,60000,hok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pancang,Rp/HOK,60000,60000,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pembuatan lubang + pagar + tanam,Rp/HOK,60000,60000,hok,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Penyiangan,Rp/HOK,60000,60000,hok,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Pruning,Rp/HOK,60000,60000,hok,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Penyadapan,Rp/HOK,60000,60000,hok,0,0,0,0,0,90,157.5,192.375,192.375,192.375,200.925,196.65,192.375,188.1,183.825,179.55,175.275,171,166.725,162.45,158.175,153.9,149.625,145.35,136.8,128.25,119.7,111.15,102.6,94.05
,,,,,,,,,,output,utama,karet basah,rp,9500,9500,kg,0,0,0,0,0,429.93,984.3721272,1512.32599,1648.463591,1726.23474,1877.260696,1912.425183,1936.286909,1908.063828,1878.712471,1854.729954,1828.858668,1760.256599,1691.238393,1647.873306,1598.332409,1549.029528,1493.849201,1445.12784,1342.542461,1241.408577,1147.538198,1054.960218,958.6012064,869.104764
