tipe.kebun,bagian,komponen,jenis,unit,unit.harga
UMUM,,pupuk,npk,kg,
UMUM,,pupuk,urea,kg/ha,
UMUM,,pupuk,organik,kg,
UMUM,,pupuk,za,kg,
UMUM,,pupuk,sp36,kg,
UMUM,,pupuk,kcl,kg,
UMUM,,pupuk,TSP,kg,
UMUM,,pupuk,RP,kg,
UMUM,,pupuk,MOP,kg,
UMUM,,pupuk,Dolomite,kg,
UMUM,,pupuk,CIRP,kg,
UMUM,,pupuk,pupuk (liquid),,
UMUM,,pupuk,pupuk (powder),,
UMUM,,bibit,,,
UMUM,,peralatan,,,
UMUM,,tenaga kerja,,,
UMUM,,utama,,,
UMUM,,sampingan,,,
UMUM,,modal kapital privat,,,rp
UMUM,,modal kapital sosial,,,rp
UMUM,,bahan kimia,LINDOMIN,lt,
UMUM,,bahan kimia,ALLY,kg,
UMUM,,bahan kimia,AGRISTIK,lt,
UMUM,,bahan kimia,Roundup,lt,
UMUM,,bahan kimia,basmilang,lt,
UMUM,,bahan kimia,formic acid,botol,
LARGE SCALE,tradable input,pupuk,npk,kg,
LARGE SCALE,tradable input,pupuk,urea,kg/ha,
LARGE SCALE,tradable input,pupuk,organik,kg,
LARGE SCALE,tradable input,pupuk,za,kg,
LARGE SCALE,tradable input,pupuk,sp36,kg,
LARGE SCALE,tradable input,pupuk,kcl,kg,
LARGE SCALE,tradable input,pupuk,TSP,kg,
LARGE SCALE,tradable input,pupuk,RP,kg,
LARGE SCALE,tradable input,pupuk,MOP,kg,
LARGE SCALE,tradable input,pupuk,Dolomite,kg,
LARGE SCALE,tradable input,pupuk,CIRP,kg,
LARGE SCALE,tradable input,pupuk,pupuk (liquid),,
LARGE SCALE,tradable input,pupuk,pupuk (powder),,
LARGE SCALE,tradable input,bahan kimia,LINDOMIN,lt,
LARGE SCALE,tradable input,bahan kimia,ALLY,kg,
LARGE SCALE,tradable input,bahan kimia,AGRISTIK,lt,
LARGE SCALE,tradable input,bahan kimia,Roundup,lt,
LARGE SCALE,tradable input,bahan kimia,basmilang,lt,
LARGE SCALE,tradable input,bahan kimia,formic acid,botol,
LARGE SCALE,tradable input,bibit,,,
LARGE SCALE,tradable input,peralatan,,,
LARGE SCALE,tradable capital,tradable capital,,,
LARGE SCALE,factor labor,tenaga kerja ahli,,,
LARGE SCALE,factor labor,tenaga kerja unskilled,,,
LARGE SCALE,factor capital,factor capital,,,
